ID,UniCode,FounderCode,DateOfBirth,Sex,BirthGroup,MomUnicode,CurrentGroup,BirthSeason,Status,DateOfDeath,DateOfRemove,AgeOfDelivery,AgeOfDOD,AgeOfRemove,SireUniCode,DamUniCode
127,K-802,Q1078,2/18/1963 0:00:00,F,A,Q1078,rt,1963,Removed,,11/9/1965 0:00:00,10.08,,2.75,,
128,H-117,Q1078,2/4/1964 0:00:00,F,A,Q1078,rt,1964,Removed,,11/15/1965 0:00:00,11.08,,1.75,,
129,I-315,Q1078,2/9/1965 0:00:00,F,A,Q1078,rt,1965,Removed,,7/26/1966 0:00:00,12.08,,1.41,,
130,G-580,Q1077,3/18/1959 0:00:00,F,U,Q1077,rk**,1959,Removed,,3/13/1972 0:00:00,4.16,,13.00,,
131,J-881,Q1077,1/6/1961 0:00:00,F,A,Q1077,rs**,1961,Removed,,3/13/1972 0:00:00,6.00,,11.16,,
132,K-615,Q1077,3/8/1962 0:00:00,F,A,Q1077,dz?,1962,DEAD,2/26/1970 0:00:00,,7.16,7.91,,,
133,K-811,Q1077,2/15/1963 0:00:00,F,A,Q1077,rk**,1963,Removed,,3/13/1972 0:00:00,8.08,,9.08,,
134,K-924,Q1077,2/15/1964 0:00:00,M,A,Q1077,du**,1964,DEAD,10/26/1975 0:00:00,,9.08,11.66,,,
135,I-314,Q1077,3/1/1965 0:00:00,F,A,Q1077,d,1965,DEAD,10/25/1965 0:00:00,,10.16,0.58,,,
136,K-753,Q1077,2/21/1966 0:00:00,F,A,Q1077,du,1966,DEAD,3/25/1968 0:00:00,,11.08,2.08,,,
137,F-543,Q1077,2/20/1967 0:00:00,M,A,Q1077,rk**,1967,Removed,,2/14/1972 0:00:00,12.08,,5.00,,
138,G-011,Q1077,4/1/1968 0:00:00,F,A,Q1077,rs**,1968,Removed,,3/13/1972 0:00:00,13.25,,3.91,,
139,F-438,Q1077,3/9/1969 0:00:00,M,A,Q1077,rk**,1969,Removed,,2/14/1972 0:00:00,14.16,,2.91,,
140,F-588,Q1077,2/21/1970 0:00:00,F,K,Q1077,rk**,1970,Removed,,2/14/1972 0:00:00,15.08,,2.00,,
