UniCode,FounderCode,DateOfBirth,Sex,BirthGroup,MomUnicode,CurrentGroup,BirthSeason,Status,DateOfDeath,DateOfRemove,AgeOfDelivery,AgeOfDOD,AgeOfRemove,SireUniCode,DamUniCode
F-588,Q1077,1970/02/21,F,K,Q1077,rk**,1970,Removed,,1972/02/14,15.08,,2.00,,
J-982,Q1076,1959/05/05,M,U,Q1076,rc,1959,Removed,,1968/12/09,3.33,,9.58,,
J-992,Q1076,1960/05/11,F,C,Q1076,rc,1960,Removed,,1968/03/26,4.33,,7.83,,
K-073,Q1076,1961/05/29,F,C,Q1076,rc,1961,Removed,,1968/02/06,5.33,,6.75,,
K-600,Q1076,1962/04/25,M,C,Q1076,r,1962,Removed,,1963/10/10,6.25,,1.50,,
K-849,Q1076,1963/06/04,F,C,Q1076,rc,1963,Removed,,1968/02/05,7.41,,4.66,,
H-119,Q1076,1964/05/02,F,C,Q1076,rc,1964,Removed,,1968/02/05,8.33,,3.75,,
G-527,Q1076,1965/03/23,M,C,Q1076,du**,1965,DEAD,1974/02/20,,9.16,8.91,,,
I-337,Q1076,1966/02/25,F,C,Q1076,rc,1966,Removed,,1966/12/09,10.08,,0.83,,
F-417,Q1076,1967/03/02,F,C,Q1076,rc**,1967,Removed,,1968/12/02,11.16,,1.75,,
I-412,Q1076,1968/02/24,U,C,Q1076,du,1968,DEAD,1968/03/12,,12.08,0.08,,,
G-461,Q1074,1958/02/26,F,U,Q1074,du,1958,DEAD,1967/10/15,,4.08,9.66,,,
J-983,Q1074,1959/04/07,M,U,Q1074,dm,1959,DEAD,1964/01/01,,5.25,4.75,,,
K-580,Q1074,1960/04/05,M,E,Q1074,rk**,1960,Removed,,1971/10/03,6.25,,11.50,,
K-065,Q1074,1961/03/18,M,E,Q1074,du,1961,DEAD,1969/08/18,,7.16,8.41,,,
K-607,Q1074,1962/04/25,F,E,Q1074,dh**,1962,DEAD,1968/02/06,,8.25,5.83,,,
I-284,Q1074,1963/03/15,F,E,Q1074,dm,1963,DEAD,1964/04/06,,9.16,1.08,,,
K-717,Q1074,1964/04/17,F,E,Q1074,rc,1964,Removed,,1971/08/18,10.25,,7.33,,
H-188,Q1074,1965/04/06,M,E,Q1074,rk**,1965,Removed,,1971/10/04,11.25,,6.50,,
K-642,Q1074,1966/03/15,M,E,Q1074,rs,1966,Removed,,1972/08/28,12.16,,6.41,,
K-829,Q1074,1967/03/07,M,E,Q1074,rs,1967,Removed,,1972/07/20,13.16,,5.33,,
G-138,Q1074,1968/03/15,M,E,Q1074,rb,1968,Removed,,1971/05/21,14.16,,3.16,,
F-449,Q1074,1969/03/17,M,E,Q1074,r,1969,Removed,,1971/04/30,15.16,,2.08,,
F-615,Q1074,1970/02/25,F,E,Q1074,rb,1970,Removed,,1971/10/27,16.08,,1.66,,
F-675,Q1074,1971/03/08,M,E,Q1074,rc,1971,Removed,,1971/04/26,17.16,,0.08,,
K-332,Q1071,1955/01/01,F,U,Q1071,d**,1955,DEAD,1965/03/17,,17.00,10.16,,,
I-222,Q1071,1956/06/26,U,U,Q1071,d,1956,DEAD,1956/06/28,,18.41,0.00,,,
